id,b,g,s,m,np_min,np_max,kind,score250,score500,score1000
b1p05_g01,1.05,1,536000000.0,536000000.0,256,256,grid,26,54,112
b1p05_g02,1.05,2,19300000.0,9670000.0,256,256,grid,52,108,224
b1p05_g03,1.05,3,5770000.0,2010000.0,256,256,grid,78,162,336
b1p05_g04,1.05,4,3370000.0,862000.0,256,256,grid,104,216,448
b1p05_g05,1.05,5,2550000.0,525000.0,256,256,grid,130,270,560
b1p05_g06,1.05,6,2070000.0,358000.0,256,256,grid,156,324,672
b1p05_g07,1.05,7,1780000.0,261000.0,256,256,grid,182,378,784
b1p05_g08,1.05,8,1600000.0,211000.0,256,256,grid,208,432,896
b1p05_g09,1.05,9,1470000.0,172000.0,256,256,grid,234,486,1008
b1p05_g10,1.05,10,1380000.0,145000.0,256,256,grid,260,540,1120
b1p05_g11,1.05,11,1320000.0,126000.0,256,256,grid,286,594,1232
b1p05_g12,1.05,12,1260000.0,112000.0,256,256,grid,312,648,1344
b1p05_g13,1.05,13,1230000.0,98200.0,256,256,grid,338,702,1456
b1p05_g14,1.05,14,1190000.0,90400.0,256,256,grid,364,756,1568
b1p05_g15,1.05,15,1170000.0,85100.0,256,256,grid,390,810,1680
b1p05_g16,1.05,16,1150000.0,77100.0,256,256,grid,416,864,1792
b1p05_g17,1.05,17,1120000.0,71900.0,256,256,grid,442,918,1904
b1p05_g18,1.05,18,1100000.0,64600.0,256,256,grid,468,972,2016
b1p05_g19,1.05,19,1090000.0,61600.0,256,256,grid,494,1026,2128
b1p05_g20,1.05,20,1080000.0,59000.0,256,256,grid,520,1080,2240
b1p05_g459,1.05,459,846000.0,16500.0,4,256,natural,6922,12880,24196
b1p075_g01,1.075,1,534000000.0,534000000.0,256,256,grid,26,54,112
b1p075_g02,1.075,2,19300000.0,9830000.0,256,256,grid,52,108,224
b1p075_g03,1.075,3,5850000.0,2000000.0,256,256,grid,78,162,336
b1p075_g04,1.075,4,3360000.0,871000.0,256,256,grid,104,216,448
b1p075_g05,1.075,5,2570000.0,535000.0,256,256,grid,130,270,560
b1p075_g06,1.075,6,2060000.0,368000.0,256,256,grid,156,324,672
b1p075_g07,1.075,7,1760000.0,262000.0,256,256,grid,182,378,784
b1p075_g08,1.075,8,1590000.0,214000.0,256,256,grid,208,432,896
b1p075_g09,1.075,9,1460000.0,172000.0,256,256,grid,234,486,1008
b1p075_g10,1.075,10,1390000.0,147000.0,256,256,grid,260,540,1120
b1p075_g11,1.075,11,1320000.0,133000.0,256,256,grid,286,594,1232
b1p075_g12,1.075,12,1270000.0,116000.0,256,256,grid,312,648,1344
b1p075_g13,1.075,13,1220000.0,101000.0,256,256,grid,338,702,1456
b1p075_g14,1.075,14,1190000.0,91700.0,256,256,grid,364,756,1568
b1p075_g15,1.075,15,1170000.0,85900.0,256,256,grid,390,810,1680
b1p075_g16,1.075,16,1150000.0,79300.0,256,256,grid,416,864,1792
b1p075_g17,1.075,17,1120000.0,73200.0,256,256,grid,442,918,1904
b1p075_g18,1.075,18,1100000.0,67500.0,256,256,grid,468,972,2016
b1p075_g19,1.075,19,1090000.0,65700.0,256,256,grid,494,1026,2128
b1p075_g20,1.075,20,1080000.0,62500.0,256,256,grid,520,1080,2240
b1p075_g313,1.075,313,856000.0,24400.0,4,256,natural,4770,8934,16932
b1p1_g01,1.1,1,560000000.0,560000000.0,256,256,grid,26,54,112
b1p1_g02,1.1,2,19800000.0,10100000.0,256,256,grid,52,108,224
b1p1_g03,1.1,3,5830000.0,2070000.0,256,256,grid,78,162,336
b1p1_g04,1.1,4,3420000.0,908000.0,256,256,grid,104,216,448
b1p1_g05,1.1,5,2560000.0,548000.0,256,256,grid,130,270,560
b1p1_g06,1.1,6,2070000.0,373000.0,256,256,grid,156,324,672
b1p1_g07,1.1,7,1770000.0,283000.0,256,256,grid,182,378,784
b1p1_g08,1.1,8,1590000.0,213000.0,256,256,grid,208,432,896
b1p1_g09,1.1,9,1490000.0,176000.0,256,256,grid,234,486,1008
b1p1_g10,1.1,10,1380000.0,153000.0,256,256,grid,260,540,1120
b1p1_g11,1.1,11,1330000.0,131000.0,256,256,grid,286,594,1232
b1p1_g12,1.1,12,1270000.0,119000.0,256,256,grid,312,648,1344
b1p1_g13,1.1,13,1240000.0,104000.0,256,256,grid,338,702,1456
b1p1_g14,1.1,14,1200000.0,93500.0,256,256,grid,364,756,1568
b1p1_g15,1.1,15,1170000.0,88200.0,256,256,grid,390,810,1680
b1p1_g16,1.1,16,1150000.0,81000.0,256,256,grid,416,864,1792
b1p1_g17,1.1,17,1130000.0,78800.0,256,256,grid,442,918,1904
b1p1_g18,1.1,18,1110000.0,71700.0,256,256,grid,468,972,2016
b1p1_g19,1.1,19,1090000.0,66000.0,256,256,grid,494,1026,2128
b1p1_g20,1.1,20,1080000.0,61600.0,256,256,grid,520,1080,2240
b1p1_g239,1.1,239,865000.0,32000.0,4,256,natural,3694,6928,13204
b1p125_g01,1.125,1,535000000.0,535000000.0,256,256,grid,26,54,112
b1p125_g02,1.125,2,19300000.0,9710000.0,256,256,grid,52,108,224
b1p125_g03,1.125,3,5800000.0,1960000.0,256,256,grid,78,162,336
b1p125_g04,1.125,4,3370000.0,869000.0,256,256,grid,104,216,448
b1p125_g05,1.125,5,2550000.0,543000.0,256,256,grid,130,270,560
b1p125_g06,1.125,6,2070000.0,367000.0,256,256,grid,156,324,672
b1p125_g07,1.125,7,1780000.0,264000.0,256,256,grid,182,378,784
b1p125_g08,1.125,8,1580000.0,220000.0,256,256,grid,208,432,896
b1p125_g09,1.125,9,1490000.0,183000.0,256,256,grid,234,486,1008
b1p125_g10,1.125,10,1370000.0,157000.0,256,256,grid,260,540,1120
b1p125_g11,1.125,11,1320000.0,134000.0,256,256,grid,286,594,1232
b1p125_g12,1.125,12,1270000.0,122000.0,256,256,grid,312,648,1344
b1p125_g13,1.125,13,1220000.0,116000.0,256,256,grid,338,702,1456
b1p125_g14,1.125,14,1200000.0,100000.0,256,256,grid,364,756,1568
b1p125_g15,1.125,15,1180000.0,92700.0,256,256,grid,390,810,1680
b1p125_g16,1.125,16,1140000.0,82400.0,256,256,grid,416,864,1792
b1p125_g17,1.125,17,1130000.0,77000.0,256,256,grid,442,918,1904
b1p125_g18,1.125,18,1110000.0,73000.0,256,256,grid,468,972,2016
b1p125_g19,1.125,19,1090000.0,72100.0,256,256,grid,494,1026,2128
b1p125_g20,1.125,20,1080000.0,69500.0,256,256,grid,520,1080,2240
