id,b,g,s,m,np_min,np_max,kind,score250,score500,score1000
b1p05_g01,1.05,1,5330.0,5330.0,256,256,grid,26,54,112
b1p05_g02,1.05,2,2150.0,1090.0,256,256,grid,52,108,224
b1p05_g03,1.05,3,1500.0,521.0,128,128,grid,78,162,336
b1p05_g04,1.05,4,1260.0,337.0,64,128,grid,104,216,400
b1p05_g05,1.05,5,1130.0,245.0,64,64,grid,130,270,320
b1p05_g06,1.05,6,1080.0,197.0,64,64,grid,156,324,384
b1p05_g07,1.05,7,1010.0,157.0,32,64,grid,182,334,384
b1p05_g08,1.05,8,989.0,137.0,32,32,grid,208,256,256
b1p05_g09,1.05,9,945.0,120.0,32,32,grid,234,288,288
b1p05_g10,1.05,10,938.0,111.0,32,32,grid,260,320,320
b1p05_g11,1.05,11,923.0,96.6,32,32,grid,286,352,352
b1p05_g12,1.05,12,911.0,85.6,16,32,grid,302,368,368
b1p05_g13,1.05,13,890.0,78.7,16,32,grid,278,320,320
b1p05_g14,1.05,14,888.0,76.5,16,32,grid,284,320,320
b1p05_g15,1.05,15,885.0,71.3,16,32,grid,270,288,288
b1p05_g16,1.05,16,879.0,66.3,16,16,grid,256,256,256
b1p05_g17,1.05,17,877.0,66.1,8,16,grid,264,264,264
b1p05_g18,1.05,18,870.0,61.3,8,16,grid,272,272,272
b1p05_g19,1.05,19,862.0,56.8,8,16,grid,280,280,280
b1p05_g20,1.05,20,852.0,54.6,8,16,grid,296,296,296
b1p05_g250,1.05,250,772.0,38.5,4,16,natural,1104,1104,1104
b1p075_g01,1.075,1,5320.0,5320.0,256,256,grid,26,54,112
b1p075_g02,1.075,2,2150.0,1080.0,256,256,grid,52,108,224
b1p075_g03,1.075,3,1480.0,551.0,128,256,grid,78,162,336
b1p075_g04,1.075,4,1250.0,353.0,64,128,grid,104,216,400
b1p075_g05,1.075,5,1160.0,246.0,64,64,grid,130,270,320
b1p075_g06,1.075,6,1060.0,204.0,64,64,grid,156,324,384
b1p075_g07,1.075,7,1020.0,164.0,32,64,grid,182,356,416
b1p075_g08,1.075,8,1000.0,148.0,32,64,grid,208,300,320
b1p075_g09,1.075,9,952.0,131.0,32,32,grid,234,288,288
b1p075_g10,1.075,10,938.0,115.0,32,32,grid,260,320,320
b1p075_g11,1.075,11,934.0,109.0,16,32,grid,266,320,320
b1p075_g12,1.075,12,918.0,100.0,16,32,grid,272,320,320
b1p075_g13,1.075,13,908.0,91.1,16,32,grid,288,336,336
b1p075_g14,1.075,14,895.0,82.1,16,32,grid,264,288,288
b1p075_g15,1.075,15,891.0,81.3,16,32,grid,270,288,288
b1p075_g16,1.075,16,877.0,73.9,16,32,grid,266,272,272
b1p075_g17,1.075,17,866.0,66.1,16,16,grid,272,272,272
b1p075_g18,1.075,18,857.0,58.8,8,16,grid,280,280,280
b1p075_g19,1.075,19,850.0,57.9,8,16,grid,280,280,280
b1p075_g20,1.075,20,844.0,57.9,8,16,grid,288,288,288
b1p075_g172,1.075,172,781.0,57.9,4,16,natural,812,812,812
b1p1_g01,1.1,1,5570.0,5570.0,256,256,grid,26,54,112
b1p1_g02,1.1,2,2210.0,1150.0,256,256,grid,52,108,224
b1p1_g03,1.1,3,1500.0,552.0,128,256,grid,78,162,336
b1p1_g04,1.1,4,1250.0,362.0,64,128,grid,104,216,400
b1p1_g05,1.1,5,1150.0,240.0,64,64,grid,130,270,320
b1p1_g06,1.1,6,1050.0,219.0,32,64,grid,156,302,352
b1p1_g07,1.1,7,1010.0,177.0,32,64,grid,182,312,352
b1p1_g08,1.1,8,986.0,153.0,32,64,grid,208,278,288
b1p1_g09,1.1,9,979.0,132.0,32,32,grid,234,288,288
b1p1_g10,1.1,10,961.0,126.0,16,32,grid,250,304,304
b1p1_g11,1.1,11,954.0,114.0,16,32,grid,266,320,320
b1p1_g12,1.1,12,915.0,98.5,16,32,grid,272,320,320
b1p1_g13,1.1,13,900.0,84.3,16,32,grid,288,336,336
b1p1_g14,1.1,14,884.0,76.3,16,32,grid,274,304,304
b1p1_g15,1.1,15,877.0,76.3,16,32,grid,280,304,304
b1p1_g16,1.1,16,868.0,76.3,8,32,grid,288,312,312
b1p1_g17,1.1,17,865.0,76.3,8,32,grid,288,312,312
b1p1_g18,1.1,18,860.0,76.3,8,32,grid,296,320,320
b1p1_g19,1.1,19,854.0,76.3,8,32,grid,296,320,320
b1p1_g20,1.1,20,850.0,76.3,4,32,grid,276,300,300
b1p1_g132,1.1,132,789.0,76.3,4,32,natural,686,704,704
b1p125_g01,1.125,1,5680.0,5680.0,256,256,grid,26,54,112
b1p125_g02,1.125,2,2210.0,1130.0,256,256,grid,52,108,224
b1p125_g03,1.125,3,1530.0,540.0,128,128,grid,78,162,336
b1p125_g04,1.125,4,1260.0,378.0,64,128,grid,104,216,400
b1p125_g05,1.125,5,1170.0,261.0,64,64,grid,130,270,320
b1p125_g06,1.125,6,1060.0,217.0,32,64,grid,156,302,352
b1p125_g07,1.125,7,1020.0,184.0,32,64,grid,182,334,384
b1p125_g08,1.125,8,993.0,152.0,32,64,grid,208,344,384
b1p125_g09,1.125,9,982.0,150.0,16,64,grid,224,338,368
b1p125_g10,1.125,10,956.0,126.0,16,32,grid,250,304,304
b1p125_g11,1.125,11,938.0,106.0,16,32,grid,266,320,320
b1p125_g12,1.125,12,923.0,94.0,16,32,grid,282,336,336
b1p125_g13,1.125,13,908.0,94.0,16,32,grid,278,320,320
