id,g,b,s,t250,t500,t1000,score
b1p05_g249,249,1.05,6.55,20.69,13.03,12.52,996
b1p1_g02,2,1.1,17.7,1.8,1.81,3.19,8
b1p1_g20,20,1.1,7.11,11.22,6.79,6.83,80
b2p0_g04,4,2.0,10.8,3.0,2.93,4.85,16
b1p75_g02,2,1.75,17.3,1.54,1.61,3.07,8
b1p5_g03,3,1.5,13.1,3.12,3.07,5.3,12
b1p05_g03,3,1.05,12.5,7.05,7.63,15.85,12
b1p4_g02,2,1.4,21.4,5.25,6.29,13.31,8
b1p1_g131,131,1.1,6.67,20.9,17.62,14.04,524
b2p0_g03,3,2.0,15.2,2.37,2.37,3.89,12
b1p5_g32,32,1.5,7.81,9.0,6.05,7.11,128
b1p3_g04,4,1.3,10.2,8.42,7.4,11.96,16
b1p75_g07,7,1.75,8.68,15.89,12.79,18.46,28
b1p5_g02,2,1.5,17.5,3.62,3.32,6.31,8
b1p75_g03,3,1.75,13.0,6.2,6.3,12.12,12
b1p2_g70,70,1.2,6.97,29.74,18.65,20.11,280
